Source,Destination,Protocol,Port
On-Prem,AWS,TCP,7
On-Prem,AWS,TCP,22
On-Prem,AWS,TCP,111
On-Prem,AWS,UDP,111
On-Prem,AWS,TCP,443
On-Prem,AWS,TCP,700
On-Prem,AWS,TCP,2049
On-Prem,AWS,UDP,2049
On-Prem,AWS,TCP,2051
On-Prem,AWS,TCP,2051
On-Prem,AWS,TCP,2052
On-Prem,AWS,UDP,2052
On-Prem,AWS,TCP,3008
On-Prem,AWS,TCP,3009
On-Prem,AWS,TCP,7543
On-Prem,AWS,TCP,8543
On-Prem,AWS,TCP,9090
On-Prem,AWS,TCP,9443
On-Prem,AWS,TCP,27000
On-Prem,AWS,TCP,29000
On-Prem,AWS,TCP,161-163
On-Prem,AWS,UDP,161-163
On-Prem,AWS,TCP,28001-28010
On-Prem,AWS,TCP,28810-28819
On-Prem,AWS,TCP,30001-30010
On-Prem,AWS,TCP,7778-7781
On-Prem,AWS,TCP,8443
On-Prem,AWS,TCP,8888
AWS,On-Prem,TCP,7
AWS,On-Prem,TCP,22
AWS,On-Prem,TCP,111
AWS,On-Prem,UDP,111
AWS,On-Prem,TCP,443
AWS,On-Prem,TCP,700
AWS,On-Prem,TCP,2049
AWS,On-Prem,UDP,2049
AWS,On-Prem,TCP,2051
AWS,On-Prem,TCP,2051
AWS,On-Prem,TCP,2052
AWS,On-Prem,UDP,2052
AWS,On-Prem,TCP,3008
AWS,On-Prem,TCP,3009
AWS,On-Prem,TCP,7543
AWS,On-Prem,TCP,8543
AWS,On-Prem,TCP,9090
AWS,On-Prem,TCP,9443
AWS,On-Prem,TCP,27000
AWS,On-Prem,TCP,29000
AWS,On-Prem,TCP,161-163
AWS,On-Prem,UDP,161-163
AWS,On-Prem,TCP,28001-28010
AWS,On-Prem,TCP,28810-28819
AWS,On-Prem,TCP,30001-30010
AWS,On-Prem,TCP,7778-7781
AWS,On-Prem,TCP,8443
AWS,On-Prem,TCP,8888
AWS,On-Prem,UDP,123
AWS,On-Prem,UDP,53
AWS,On-Prem,TCP,25
On-Prem mgt,AWS,TCP,22
On-Prem mgt,AWS,TCP,443
On-Prem mgt,AWS,TCP,1234
On-Prem mgt,AWS,TCP,7543
On-Prem mgt,AWS,TCP,7778-7781
On-Prem mgt,AWS,TCP,8580
On-Prem mgt,AWS,TCP,9443
On-Prem DPA,AWS,TCP,5555
On-Prem DPA,AWS,UDP,161
On-Prem DPA,AWS,TCP,22
On-Prem DPA,AWS,TCP,8443
AWS,ESRS,TCP,443
AWS,ESRS,TCP,8443
